AMERICAN BEACH,AMERICAN BEACH SA 5222
AMERICAN RIVER,AMERICAN RIVER SA 5221
ANTECHAMBER BAY,ANTECHAMBER BAY SA 5222
BALLAST HEAD,BALLAST HEAD SA 5221
BAUDIN BEACH,BAUDIN BEACH SA 5222
BAY OF SHOALS,BAY OF SHOALS SA 5223
BIRCHMORE,BIRCHMORE SA 5223
BROWN BEACH,BROWN BEACH SA 5222
BROWNLOW KI,BROWNLOW KI SA 5223
BROWNS BEACH,BROWN BEACH SA 5222
CAPE BORDA,CAPE BORDA SA 5223
CASSINI,CASSINI SA 5223
CUTTLEFISH BAY,CUTTLEFISH BAY SA 5222
CYGNET RIVER,CYGNET RIVER SA 5223
DE MOLE RIVER,DE MOLE RIVER SA 5223
D'ESTREES BAY,D'ESTREES BAY SA 5223
DUDLEY EAST,DUDLEY EAST SA 5222
DUDLEY WEST,DUDLEY WEST SA 5222
DUNCAN,DUNCAN SA 5223
EMU BAY,EMU BAY SA 5223
FLINDERS CHASE,FLINDERS CHASE SA 5223
GOSSE,GOSSE SA 5223
HAINES,HAINES SA 5223
HARRIET,HARRIET SA 
IRONSTONE,IRONSTONE SA 5222
ISLAND BEACH,ISLAND BEACH SA 5222
KANGAROO HEAD,KANGAROO HEAD SA 5222
KARATTA,KARATTA SA 5223
KINGSCOTE,KINGSCOTE SA 5223
KOHINOOR,KOHINOOR SA 5223
MACGILLIVRAY,MACGILLIVRAY SA 5223
MENZIES,MENZIES SA 5223
MIDDLE RIVER,MIDDLE RIVER SA 5223
MUSTON,MUSTON SA 5221
NEPEAN BAY,NEPEAN BAY SA 5223
NEWLAND,NEWLAND SA 5223
NORTH CAPE,NORTH CAPE SA 5223
PARNDANA,PARNDANA SA 5220
PELICAN LAGOON,PELICAN LAGOON SA 5222
PENNESHAW,PENNESHAW SA 5222
PORKY FLAT,PORKY FLAT SA 5222
SAPPHIRETOWN,SAPPHIRETOWN SA 5222
SEAL BAY,SEAL BAY SA 5223
SEDDON,SEDDON SA 5223
STOKES BAY,STOKES BAY SA 5223
STUN'SAIL BOOM,STUN'SAIL BOOM SA 5223
VIVONNE BAY,VIVONNE BAY SA 5223
WESTERN RIVER,WESTERN RIVER SA 5223
WILLOUGHBY,WILLOUGHBY SA 5222
WILLSON RIVER,WILLSON RIVER SA 5222
WISANGER,WISANGER SA 5223
